Time : 45:41.076, Frame: 2971.000, Current FPS : 39.509, Average FPS : 36.355, Total FPS : 45.354
Time : 45:41.595, Frame: 2993.000, Current FPS : 42.343, Average FPS : 36.954, Total FPS : 45.330
Time : 45:42.113, Frame: 3014.000, Current FPS : 40.580, Average FPS : 37.316, Total FPS : 45.293
Time : 45:42.632, Frame: 3036.000, Current FPS : 42.387, Average FPS : 37.823, Total FPS : 45.271
Time : 45:43.137, Frame: 3058.000, Current FPS : 43.581, Average FPS : 38.399, Total FPS : 45.258
Time : 45:43.656, Frame: 3080.000, Current FPS : 42.328, Average FPS : 38.792, Total FPS : 45.235
Time : 45:44.177, Frame: 3102.000, Current FPS : 42.302, Average FPS : 39.143, Total FPS : 45.214
Time : 45:44.695, Frame: 3124.000, Current FPS : 42.464, Average FPS : 39.475, Total FPS : 45.192
Time : 45:45.200, Frame: 3145.000, Current FPS : 41.582, Average FPS : 39.686, Total FPS : 45.167
Time : 45:45.718, Frame: 3171.000, Current FPS : 50.117, Average FPS : 40.729, Total FPS : 45.203
Time : 45:46.235, Frame: 3195.000, Current FPS : 46.493, Average FPS : 41.305, Total FPS : 45.213
Time : 45:46.755, Frame: 3219.000, Current FPS : 46.138, Average FPS : 41.789, Total FPS : 45.220
Time : 45:47.274, Frame: 3244.000, Current FPS : 48.191, Average FPS : 42.429, Total FPS : 45.241
Time : 45:47.779, Frame: 3266.000, Current FPS : 43.562, Average FPS : 42.542, Total FPS : 45.229
Time : 45:48.298, Frame: 3290.000, Current FPS : 46.187, Average FPS : 42.907, Total FPS : 45.236
Time : 45:48.819, Frame: 3314.000, Current FPS : 46.122, Average FPS : 43.228, Total FPS : 45.243
Time : 45:49.336, Frame: 3337.000, Current FPS : 44.445, Average FPS : 43.350, Total FPS : 45.237
Time : 45:49.840, Frame: 3359.000, Current FPS : 43.661, Average FPS : 43.381, Total FPS : 45.226
Time : 45:50.360, Frame: 3383.000, Current FPS : 46.166, Average FPS : 43.660, Total FPS : 45.233
Time : 45:50.879, Frame: 3409.000, Current FPS : 50.131, Average FPS : 44.307, Total FPS : 45.267
Time : 45:51.398, Frame: 3434.000, Current FPS : 48.100, Average FPS : 44.686, Total FPS : 45.286
Time : 45:51.903, Frame: 3457.000, Current FPS : 45.539, Average FPS : 44.771, Total FPS : 45.288
Time : 45:52.424, Frame: 3480.000, Current FPS : 44.189, Average FPS : 44.713, Total FPS : 45.280
Time : 45:52.943, Frame: 3505.000, Current FPS : 48.161, Average FPS : 45.058, Total FPS : 45.300
Time : 45:53.448, Frame: 3527.000, Current FPS : 43.553, Average FPS : 44.907, Total FPS : 45.288
Time : 45:53.968, Frame: 3556.000, Current FPS : 55.865, Average FPS : 46.003, Total FPS : 45.358
Time : 45:54.487, Frame: 3584.000, Current FPS : 53.977, Average FPS : 46.801, Total FPS : 45.414
Time : 45:55.008, Frame: 3611.000, Current FPS : 51.857, Average FPS : 47.306, Total FPS : 45.457
Time : 45:55.511, Frame: 3639.000, Current FPS : 55.643, Average FPS : 48.140, Total FPS : 45.521
Time : 45:56.029, Frame: 3667.000, Current FPS : 54.036, Average FPS : 48.730, Total FPS : 45.575
Time : 45:56.549, Frame: 3697.000, Current FPS : 57.707, Average FPS : 49.627, Total FPS : 45.653
Time : 45:57.070, Frame: 3729.000, Current FPS : 61.475, Average FPS : 50.812, Total FPS : 45.754
Time : 45:57.577, Frame: 3759.000, Current FPS : 59.284, Average FPS : 51.659, Total FPS : 45.837
Time : 45:58.097, Frame: 3787.000, Current FPS : 53.862, Average FPS : 51.879, Total FPS : 45.888
Time : 45:58.616, Frame: 3818.000, Current FPS : 59.697, Average FPS : 52.661, Total FPS : 45.973
Time : 45:59.120, Frame: 3845.000, Current FPS : 53.564, Average FPS : 52.752, Total FPS : 46.020
Time : 45:59.636, Frame: 3875.000, Current FPS : 58.117, Average FPS : 53.288, Total FPS : 46.094
Time : 46:00.156, Frame: 3909.000, Current FPS : 65.392, Average FPS : 54.498, Total FPS : 46.213
Time : 46:00.675, Frame: 3943.000, Current FPS : 65.568, Average FPS : 55.605, Total FPS : 46.330
Time : 46:01.195, Frame: 3976.000, Current FPS : 63.551, Average FPS : 56.400, Total FPS : 46.434
Time : 46:01.698, Frame: 4007.000, Current FPS : 61.614, Average FPS : 56.921, Total FPS : 46.523
Time : 46:02.218, Frame: 4031.000, Current FPS : 46.201, Average FPS : 55.849, Total FPS : 46.521
Time : 46:02.740, Frame: 4055.000, Current FPS : 45.947, Average FPS : 54.859, Total FPS : 46.518
Time : 46:03.258, Frame: 4076.000, Current FPS : 40.580, Average FPS : 53.431, Total FPS : 46.483
Time : 46:03.762, Frame: 4099.000, Current FPS : 45.626, Average FPS : 52.651, Total FPS : 46.478
Time : 46:04.282, Frame: 4123.000, Current FPS : 46.146, Average FPS : 52.000, Total FPS : 46.476
Time : 46:04.801, Frame: 4146.000, Current FPS : 44.312, Average FPS : 51.231, Total FPS : 46.463
Time : 46:05.306, Frame: 4168.000, Current FPS : 43.529, Average FPS : 50.461, Total FPS : 46.447
Time : 46:05.824, Frame: 4189.000, Current FPS : 40.590, Average FPS : 49.474, Total FPS : 46.413
Time : 46:06.344, Frame: 4212.000, Current FPS : 44.218, Average FPS : 48.948, Total FPS : 46.401
Time : 46:06.865, Frame: 4235.000, Current FPS : 44.097, Average FPS : 48.463, Total FPS : 46.387
Time : 46:07.370, Frame: 4257.000, Current FPS : 43.595, Average FPS : 47.976, Total FPS : 46.372
Time : 46:07.889, Frame: 4278.000, Current FPS : 40.456, Average FPS : 47.224, Total FPS : 46.339
Time : 46:08.408, Frame: 4302.000, Current FPS : 46.267, Average FPS : 47.129, Total FPS : 46.338
Time : 46:08.927, Frame: 4327.000, Current FPS : 48.184, Average FPS : 47.234, Total FPS : 46.349
Time : 46:09.434, Frame: 4352.000, Current FPS : 49.382, Average FPS : 47.449, Total FPS : 46.365
Time : 46:09.955, Frame: 4376.000, Current FPS : 46.080, Average FPS : 47.312, Total FPS : 46.363
Time : 46:10.476, Frame: 4399.000, Current FPS : 44.110, Average FPS : 46.992, Total FPS : 46.351
Time : 46:10.979, Frame: 4420.000, Current FPS : 41.771, Average FPS : 46.470, Total FPS : 46.326
Time : 46:11.500, Frame: 4445.000, Current FPS : 48.007, Average FPS : 46.624, Total FPS : 46.336
Time : 46:12.018, Frame: 4470.000, Current FPS : 48.213, Average FPS : 46.783, Total FPS : 46.346
Time : 46:12.537, Frame: 4494.000, Current FPS : 46.327, Average FPS : 46.737, Total FPS : 46.345
Time : 46:13.054, Frame: 4516.000, Current FPS : 42.527, Average FPS : 46.316, Total FPS : 46.325
